AUC,D,M,gamma
-6844.854748999999,4.0,70.0,0.9500000000000001
-7071.175978,4.0,42.0,0.0
-7066.22905,4.0,37.0,0.09
-7066.812849,4.0,66.0,0.02
-7021.526536,4.0,11.0,0.49
-7059.047486,3.0,52.0,0.13
-6969.346369,2.0,60.0,0.86
-7068.308659,2.0,56.0,0.05
-7004.775140000001,3.0,18.0,0.61
-7067.689944,3.0,32.0,0.07
-7021.818436,3.0,22.0,0.37
-7015.187151,4.0,42.0,0.65
-7063.110334999999,4.0,61.0,0.1
-7066.655028,2.0,67.0,0.03
-6659.247207,3.0,13.0,1.0
-7061.398045,4.0,40.0,0.16
-7071.175978,4.0,46.0,0.0
-7057.0656420000005,3.0,57.0,0.12
-7054.914804000001,4.0,53.0,0.27
-7004.825419,3.0,17.0,0.68
-6997.0139659999995,4.0,36.0,0.78
-7058.8673180000005,4.0,44.0,0.14
-7059.139665000001,3.0,25.0,0.23
-7071.175978,4.0,51.0,0.0
-6979.289106,4.0,47.0,0.8200000000000001
-7070.709497,2.0,28.0,0.06
-7063.110334999999,3.0,58.0,0.1
-7066.655028,2.0,15.0,0.03
-7065.997206999999,4.0,49.0,0.08
-7053.155028,2.0,39.0,0.2
-7013.696927,4.0,41.0,0.44
-7044.002793000001,4.0,19.0,0.29
-7060.670391,4.0,38.0,0.18
-7069.828212,3.0,63.0,0.05
-7059.959497,2.0,29.0,0.11
-7036.456704000001,2.0,45.0,0.32
-7066.812849,4.0,47.0,0.02
-6462.273743,3.0,3.0,0.91
-7071.175978,4.0,32.0,0.0
-7061.398045,4.0,32.0,0.16
-7065.997206999999,4.0,42.0,0.08
-7030.215084,4.0,43.0,0.34
-7058.8673180000005,4.0,35.0,0.14
-6993.226256999999,3.0,49.0,0.74
-7056.858939,4.0,25.0,0.25
-7068.325419,4.0,54.0,0.04
-7058.110334999999,3.0,27.0,0.21
-7069.662011,4.0,31.0,0.06
-7010.624301999999,3.0,21.0,0.55
-7066.812849,2.0,53.0,0.02
-7059.4511170000005,2.0,45.0,0.13
-7066.22905,4.0,39.0,0.09
-7071.175978,4.0,51.0,0.0
-7059.959497,2.0,62.0,0.11
-7060.670391,4.0,57.0,0.18
-7067.863128,2.0,62.0,0.04
-7067.689944,4.0,69.0,0.07
-7061.398045,4.0,66.0,0.16
-7071.175978,4.0,49.0,0.0
-7053.226256999999,4.0,46.0,0.27
-7018.994412999999,3.0,34.0,0.41000000000000003
-7059.754190000001,2.0,70.0,0.12
-7002.402235,2.0,41.0,0.46
-7066.812849,4.0,68.0,0.02
-7056.5,4.0,54.0,0.22
-7069.828212,3.0,23.0,0.05
-7066.22905,3.0,58.0,0.09
-7056.561453,2.0,44.0,0.19
-7058.8673180000005,4.0,55.0,0.14
-7067.689944,4.0,20.0,0.07
-7066.812849,2.0,60.0,0.02
-7022.25,4.0,36.0,0.52
-7071.175978,4.0,39.0,0.0
-7058.5670390000005,3.0,51.0,0.24
-7063.110334999999,3.0,50.0,0.1
-7069.828212,3.0,33.0,0.05
-7071.175978,4.0,53.0,0.0
-7058.812849,3.0,53.0,0.15
-7066.655028,3.0,40.0,0.03
-7057.0656420000005,3.0,42.0,0.12
-7067.689944,3.0,47.0,0.07
-7060.650838,4.0,59.0,0.17
-7060.364525,3.0,37.0,0.2
-7045.314245999999,3.0,65.0,0.29
-7071.175978,2.0,30.0,0.0
-7066.22905,4.0,23.0,0.09
-7066.655028,3.0,51.0,0.03
-6965.73743,2.0,35.0,0.8200000000000001
-7004.403631,4.0,69.0,0.5700000000000001
-7069.828212,4.0,38.0,0.05
-7059.280726000001,4.0,66.0,0.11
-7065.062849,4.0,49.0,0.01
-7017.421788,4.0,47.0,0.38
-7057.346369,4.0,41.0,0.25
-7066.812849,4.0,62.0,0.02
-7069.662011,4.0,43.0,0.06
-7067.863128,2.0,10.0,0.04
-7071.175978,3.0,26.0,0.0
-7067.689944,3.0,26.0,0.07
-7071.175978,4.0,63.0,0.0
-7068.5488829999995,2.0,56.0,0.08
-7066.655028,2.0,31.0,0.03
-7063.110334999999,4.0,13.0,0.1
-7071.175978,4.0,30.0,0.0
-7068.325419,4.0,48.0,0.04
-7057.187151,3.0,5.0,0.13
-7065.997206999999,4.0,56.0,0.08
-7070.709497,2.0,58.0,0.06
-7066.812849,4.0,46.0,0.02
-7068.308659,2.0,67.0,0.05
-7071.175978,4.0,44.0,0.0
-7058.812849,4.0,33.0,0.15
-7063.110334999999,4.0,52.0,0.1
-7066.812849,4.0,28.0,0.02
-7068.5488829999995,2.0,54.0,0.08
-7057.0656420000005,4.0,36.0,0.12
-7068.325419,4.0,60.0,0.04
-7065.062849,4.0,24.0,0.01
-7069.662011,4.0,61.0,0.06
-7058.8673180000005,4.0,29.0,0.14
-7071.175978,2.0,51.0,0.0
-7058.748603,2.0,8.0,0.17
-6944.912011,3.0,6.0,0.7000000000000001
-7059.959497,2.0,21.0,0.11
-7066.812849,4.0,38.0,0.02
-7066.22905,4.0,64.0,0.09
-7067.863128,2.0,65.0,0.04
-7058.807263,3.0,4.0,0.06
-7057.0656420000005,3.0,54.0,0.12
-7071.175978,4.0,27.0,0.0
-7071.175978,4.0,39.0,0.0
-7059.9511170000005,4.0,39.0,0.19
-7065.997206999999,4.0,45.0,0.08
-7012.7653629999995,5.0,50.0,0.45
-7065.997206999999,4.0,26.0,0.08
-7059.797486,3.0,44.0,0.26
-7068.325419,4.0,18.0,0.04
-6944.219273999999,3.0,34.0,0.89
-7058.812849,3.0,70.0,0.15
-7058.110334999999,3.0,74.0,0.21
-7066.812849,3.0,58.0,0.02
-7071.175978,4.0,29.0,0.0
-7063.110334999999,4.0,14.0,0.1
-7060.650838,3.0,76.0,0.17
-7071.2332400000005,5.0,4.0,0.0
-7069.550279000001,3.0,7.0,0.06
-6994.146648000001,5.0,10.0,0.68
-7039.28352,3.0,97.0,0.31
