AUC,Beta1,Beta2
7791.106145,8,4.7
7772.763966,8,4.8
7790.976257,8,4.9
7789.803073,8,5
7806.631285,8,5.1
7796.789106,8,5.2
7784.346369,8,5.3
7786.312849,8,5.4
7804.060056,8,5.5
7804.814246,8,5.6
7813.576816,8,5.7
7819.134078,8,5.8
7833.632682,8,5.9
7834.938547,8,6
7556.49581,9,0
7583.583799,9,0.1
7593.093575,9,0.2
7583.965084,9,0.3
7627.678771,9,0.4
7595.412011,9,0.5
7641.096369,9,0.6
7663.840782,9,0.7
7687.418994,9,0.8
7672.402235,9,0.9
7680.925978,9,1
7671.469274,9,1.1
7645.97905,9,1.2
7665.236034,9,1.3
7666.636872,9,1.4
7685.952514,9,1.5
7688.360335,9,1.6
7682.060056,9,1.7
7687.328212,9,1.8
7691.065642,9,1.9
7681.02514,9,2
7703.305866,9,2.1
7713.01676,9,2.2
7708.965084,9,2.3
7709.844972,9,2.4
7712.850559,9,2.5
7704.998603,9,2.6
7699.928771,9,2.7
7716.442737,9,2.8
7723.405028,9,2.9
7718.083799,9,3
7705.532123,9,3.1
7725.803073,9,3.2
7738.24581,9,3.3
7736.812849,9,3.4
7751.946927,9,3.5
7767.058659,9,3.6
7752.459497,9,3.7
7765.579609,9,3.8
7764.776536,9,3.9
7767.840782,9,4
7796.138268,9,4.1
7789.276536,9,4.2
7775.222067,9,4.3
7776.386872,9,4.4
7789.599162,9,4.5
7793.213687,9,4.6
7801.100559,9,4.7
7798.99162,9,4.8
7776.331006,9,4.9
7799.089385,9,5
7794.273743,9,5.1
7797.428771,9,5.2
7803.837989,9,5.3
7812.958101,9,5.4
7815.583799,9,5.5
7823.124302,9,5.6
7830.340782,9,5.7
7831.465084,9,5.8
7835.502793,9,5.9
7834.337989,9,6
7589.015363,10,0
7569.696927,10,0.1
7598.347765,10,0.2
7623.642458,10,0.3
7625.710894,10,0.4
7663.134078,10,0.5
7673.850559,10,0.6
7684.011173,10,0.7
7674.460894,10,0.8
7679.643855,10,0.9
7649.325419,10,1
7658.657821,10,1.1
7664.300279,10,1.2
7669.006983,10,1.3
7686.76257,10,1.4
7694.448324,10,1.5
7691.379888,10,1.6
7706.575419,10,1.7
7698.78352,10,1.8
7720.329609,10,1.9
7735.023743,10,2
7713.664804,10,2.1
7698.451117,10,2.2
7708.392458,10,2.3
7700.203911,10,2.4
7712.71648,10,2.5
7707.624302,10,2.6
7720.712291,10,2.7
7726.006983,10,2.8
7738.699721,10,2.9
7731.145251,10,3
7739.603352,10,3.1
7738.927374,10,3.2
7752.062849,10,3.3
7767.509777,10,3.4
7777.171788,10,3.5
7779.52514,10,3.6
7775.689944,10,3.7
