,AUC,Beta1,Beta2
149,25379.11343283582,3.0,2.7
150,25345.205970149254,3.0,2.8000000000000003
151,25392.17910447761,3.0,2.9000000000000004
152,25390.556716417912,3.0,3.0
153,25384.238805970148,3.0,3.1
154,25398.885074626865,3.0,3.2
155,25380.38656716418,3.0,3.3000000000000003
156,25378.935820895524,3.0,3.4000000000000004
157,25423.99701492537,3.0,3.5
158,25433.223880597016,3.0,3.6
159,25408.22985074627,3.0,3.7
160,25387.462686567163,3.0,3.8000000000000003
161,25402.05074626866,3.0,3.9000000000000004
162,25432.676119402986,3.0,4.0
163,25425.849253731343,3.0,4.1000000000000005
164,25444.2,3.0,4.2
165,25452.637313432835,3.0,4.3
166,25459.794029850746,3.0,4.4
167,25482.844776119404,3.0,4.5
168,25492.625373134328,3.0,4.6000000000000005
169,25491.40895522388,3.0,4.7
170,25483.73432835821,3.0,4.800000000000001
171,25471.198507462686,3.0,4.9
172,25481.446268656717,3.0,5.0
173,25504.749253731345,3.0,5.1000000000000005
174,25474.028358208954,3.0,5.2
175,25490.63880597015,3.0,5.300000000000001
176,25502.476119402985,3.0,5.4
177,25512.25223880597,3.0,5.5
178,25537.480597014925,3.0,5.6000000000000005
179,25535.288059701492,3.0,5.7
180,25543.08805970149,3.0,5.800000000000001
181,25519.577611940298,3.0,5.9
182,25522.759701492538,3.0,6.0
183,24738.31343283582,4.0,0.0
184,24771.344776119404,4.0,0.1
185,24897.735820895523,4.0,0.2
186,24829.31343283582,4.0,0.30000000000000004
187,24949.03880597015,4.0,0.4
188,24962.49552238806,4.0,0.5
189,25059.350746268658,4.0,0.6000000000000001
190,25102.810447761192,4.0,0.7000000000000001
191,25184.86119402985,4.0,0.8
192,25219.90895522388,4.0,0.9
193,25186.344776119404,4.0,1.0
194,25215.422388059702,4.0,1.1
195,25272.03880597015,4.0,1.2000000000000002
196,25316.235820895523,4.0,1.3
197,25330.155223880596,4.0,1.4000000000000001
198,25332.647761194028,4.0,1.5
199,25294.1776119403,4.0,1.6
200,25371.465671641792,4.0,1.7000000000000002
201,25415.958208955224,4.0,1.8
202,25363.935820895524,4.0,1.9000000000000001
203,25354.407462686566,4.0,2.0
204,25302.311940298507,4.0,2.1
205,25378.56865671642,4.0,2.2
206,25319.849253731343,4.0,2.3000000000000003
207,25327.84328358209,4.0,2.4000000000000004
208,25346.39552238806,4.0,2.5
209,25367.528358208954,4.0,2.6
210,25378.288059701492,4.0,2.7
211,25369.253731343284,4.0,2.8000000000000003
212,25377.992537313432,4.0,2.9000000000000004
213,25389.468656716417,4.0,3.0
214,25373.488059701493,4.0,3.1
215,25414.24776119403,4.0,3.2
216,25406.79552238806,4.0,3.3000000000000003
217,25408.01791044776,4.0,3.4000000000000004
218,25420.285074626867,4.0,3.5
219,25434.30895522388,4.0,3.6
220,25419.998507462686,4.0,3.7
221,25389.19104477612,4.0,3.8000000000000003
222,25434.932835820895,4.0,3.9000000000000004
223,25449.432835820895,4.0,4.0
224,25446.031343283583,4.0,4.1000000000000005
225,25477.516417910447,4.0,4.2
