,AUC,Beta1,Beta2
185,3857.1537313432837,4.0,0.2
186,3855.5985074626865,4.0,0.30000000000000004
187,3872.9507462686565,4.0,0.4
188,3893.1820895522387,4.0,0.5
189,3921.8328358208955,4.0,0.6000000000000001
190,3925.231343283582,4.0,0.7000000000000001
191,3946.5641791044777,4.0,0.8
192,3980.3462686567163,4.0,0.9
193,3973.194029850746,4.0,1.0
194,3985.1059701492536,4.0,1.1
195,4009.5701492537314,4.0,1.2000000000000002
196,4044.1313432835823,4.0,1.3
197,4054.979104477612,4.0,1.4000000000000001
198,4052.223880597015,4.0,1.5
199,4038.8179104477613,4.0,1.6
200,4032.392537313433,4.0,1.7000000000000002
201,4051.614925373134,4.0,1.8
202,4056.1985074626864,4.0,1.9000000000000001
203,4056.194029850746,4.0,2.0
204,4054.323880597015,4.0,2.1
205,4068.95223880597,4.0,2.2
206,4032.423880597015,4.0,2.3000000000000003
207,4032.273134328358,4.0,2.4000000000000004
208,4034.2701492537312,4.0,2.5
209,4040.928358208955,4.0,2.6
210,4045.331343283582,4.0,2.7
211,4051.0537313432837,4.0,2.8000000000000003
212,4045.6746268656716,4.0,2.9000000000000004
213,4048.04776119403,4.0,3.0
214,4050.20447761194,4.0,3.1
215,4052.5597014925374,4.0,3.2
216,4054.468656716418,4.0,3.3000000000000003
217,4054.068656716418,4.0,3.4000000000000004
218,4072.9776119402986,4.0,3.5
219,4077.9164179104478,4.0,3.6
220,4077.2328358208956,4.0,3.7
221,4077.979104477612,4.0,3.8000000000000003
222,4087.686567164179,4.0,3.9000000000000004
223,4081.837313432836,4.0,4.0
224,4082.1328358208957,4.0,4.1000000000000005
225,4090.455223880597,4.0,4.2
226,4100.456716417911,4.0,4.3
227,4101.419402985075,4.0,4.4
228,4108.064179104477,4.0,4.5
229,4119.683582089552,4.0,4.6000000000000005
230,4125.364179104477,4.0,4.7
231,4126.046268656716,4.0,4.800000000000001
232,4115.949253731344,4.0,4.9
233,4114.55223880597,4.0,5.0
234,4117.285074626866,4.0,5.1000000000000005
235,4130.350746268657,4.0,5.2
236,4140.522388059701,4.0,5.300000000000001
237,4137.138805970149,4.0,5.4
238,4149.810447761194,4.0,5.5
239,4147.876119402985,4.0,5.6000000000000005
240,4140.888059701492,4.0,5.7
241,4142.874626865671,4.0,5.800000000000001
242,4148.370149253731,4.0,5.9
243,4149.191044776119,4.0,6.0
244,3869.1850746268656,5.0,0.0
245,3882.117910447761,5.0,0.1
246,3900.3044776119405,5.0,0.2
247,3910.137313432836,5.0,0.30000000000000004
248,3932.017910447761,5.0,0.4
249,3942.0044776119403,5.0,0.5
250,3966.913432835821,5.0,0.6000000000000001
251,3979.3507462686566,5.0,0.7000000000000001
252,4002.5373134328356,5.0,0.8
253,4039.708955223881,5.0,0.9
254,4036.934328358209,5.0,1.0
255,4049.7895522388058,5.0,1.1
256,4046.7716417910447,5.0,1.2000000000000002
257,4060.3253731343284,5.0,1.3
258,4038.4,5.0,1.4000000000000001
259,4040.3089552238807,5.0,1.5
260,4051.137313432836,5.0,1.6
261,4054.279104477612,5.0,1.7000000000000002
262,4046.9537313432834,5.0,1.8
263,4052.9,5.0,1.9000000000000001
264,4056.455223880597,5.0,2.0
265,4035.9462686567163,5.0,2.1
266,4032.162686567164,5.0,2.2
267,4042.292537313433,5.0,2.3000000000000003
268,4043.964179104478,5.0,2.4000000000000004
269,4060.6432835820897,5.0,2.5
270,4065.4402985074626,5.0,2.6
271,4062.8671641791043,5.0,2.7
272,4063.292537313433,5.0,2.8000000000000003
273,4063.220895522388,5.0,2.9000000000000004
274,4063.0880597014925,5.0,3.0
275,4071.7611940298507,5.0,3.1
276,4064.9805970149255,5.0,3.2
277,4078.6358208955226,5.0,3.3000000000000003
278,4077.3119402985076,5.0,3.4000000000000004
279,4081.3358208955224,5.0,3.5
280,4091.255223880597,5.0,3.6
281,4095.6820895522387,5.0,3.7
282,4093.134328358209,5.0,3.8000000000000003
283,4097.405970149253,5.0,3.9000000000000004
284,4106.310447761194,5.0,4.0
285,4107.707462686567,5.0,4.1000000000000005
286,4107.64328358209,5.0,4.2
287,4120.858208955224,5.0,4.3
288,4129.90895522388,5.0,4.4
289,4135.659701492537,5.0,4.5
290,4126.071641791044,5.0,4.6000000000000005
291,4120.274626865672,5.0,4.7
292,4123.997014925373,5.0,4.800000000000001
293,4132.6179104477615,5.0,4.9
294,4133.361194029851,5.0,5.0
295,4148.917910447762,5.0,5.1000000000000005
296,4142.850746268657,5.0,5.2
297,4147.180597014925,5.0,5.300000000000001
298,4142.073134328358,5.0,5.4
299,4144.182089552239,5.0,5.5
300,4146.013432835821,5.0,5.6000000000000005
301,4152.440298507463,5.0,5.7
302,4156.373134328358,5.0,5.800000000000001
303,4159.582089552238,5.0,5.9
304,4163.8432835820895,5.0,6.0
305,3910.144776119403,6.0,0.0
306,3915.3671641791043,6.0,0.1
307,3955.4985074626866,6.0,0.2
308,3990.2462686567164,6.0,0.30000000000000004
309,3989.385074626866,6.0,0.4
310,4008.658208955224,6.0,0.5
311,4007.2895522388058,6.0,0.6000000000000001
