Budget,DISCLOSEPolicy_Benefit_70,DISCLOSEPolicy_70_0.25,DISCLOSEPolicy_70_0.5,DISCLOSEPolicy_70_0.75,StaticPolicy_Benefit_70,StaticPolicy_70_0.25,StaticPolicy_70_0.5,StaticPolicy_70_0.75,MCTSPolicy_Benefit_70,MCTSPolicy_70_0.25,MCTSPolicy_70_0.5,MCTSPolicy_70_0.75
16,68.44626865671641,0.0,78.0,88.0,62.96268656716418,0.0,78.0,88.0,72.2865671641791,0.0,88.0,125.0
17,71.96417910447761,0.0,88.0,125.0,65.55820895522388,0.0,88.0,88.0,73.6,0.0,88.0,125.0
18,77.55373134328359,0.0,88.0,135.0,74.1731343283582,0.0,88.0,125.0,80.68507462686567,0.0,88.0,135.0
19,80.78507462686566,0.0,88.0,135.0,77.47014925373135,0.0,88.0,135.0,85.9313432835821,47.0,88.0,135.0
20,86.14477611940299,55.0,88.0,135.0,82.54776119402985,0.0,88.0,143.0,86.3955223880597,47.0,88.0,135.0
21,94.07611940298507,55.0,88.0,143.0,89.63432835820896,0.0,88.0,143.0,90.40597014925373,47.0,88.0,135.0
22,95.95671641791044,55.0,88.0,143.0,91.3268656716418,0.0,88.0,143.0,92.53582089552239,55.0,88.0,143.0
23,95.95671641791044,55.0,88.0,143.0,91.3268656716418,0.0,88.0,143.0,94.40746268656716,55.0,88.0,143.0
24,105.05671641791045,55.0,88.0,151.0,99.81641791044777,47.0,88.0,143.0,101.29253731343283,55.0,88.0,151.0
25,105.5865671641791,55.0,88.0,151.0,99.81641791044777,47.0,88.0,143.0,104.40597014925373,61.0,88.0,151.0
26,107.04328358208956,61.0,88.0,151.0,101.27313432835821,49.0,88.0,143.0,105.65074626865672,61.0,88.0,151.0
27,111.00895522388059,61.0,88.0,159.0,111.40746268656716,55.0,88.0,166.0,109.1,61.0,88.0,165.0
28,111.85671641791045,61.0,88.0,165.0,111.49850746268656,55.0,88.0,166.0,111.8179104477612,61.0,88.0,165.75
29,111.85671641791045,61.0,88.0,165.0,111.49850746268656,55.0,88.0,166.0,112.42388059701493,61.0,88.0,165.75
